seat_id,showtime_id,status
A01,1119,available
A02,1119,available
A03,1119,available
A04,1119,available
A05,1119,available
A06,1119,available
A07,1119,available
A08,1119,available
A09,1119,available
A10,1119,available
A11,1119,available
A12,1119,available
A13,1119,available
A14,1119,available
A15,1119,available
A16,1119,available
A17,1119,available
A18,1119,available
A19,1119,available
A20,1119,available
A21,1119,available
A22,1119,available
A23,1119,available
A24,1119,available
A25,1119,available
B01,1119,available
B02,1119,available
B03,1119,available
B04,1119,available
B05,1119,available
B06,1119,available
B07,1119,available
B08,1119,available
B09,1119,available
B10,1119,available
B11,1119,available
B12,1119,available
B13,1119,available
B14,1119,available
B15,1119,available
B16,1119,available
B17,1119,available
B18,1119,available
B19,1119,available
B20,1119,available
B21,1119,available
B22,1119,available
B23,1119,available
B24,1119,available
B25,1119,available
C01,1119,available
C02,1119,available
C03,1119,available
C04,1119,available
C05,1119,available
C06,1119,available
C07,1119,available
C08,1119,available
C09,1119,available
C10,1119,available
C11,1119,available
C12,1119,available
C13,1119,available
C14,1119,available
C15,1119,available
C16,1119,available
C17,1119,available
C18,1119,available
C19,1119,available
C20,1119,available
C21,1119,available
C22,1119,available
C23,1119,available
C24,1119,available
C25,1119,available
D01,1119,available
D02,1119,available
D03,1119,available
D04,1119,available
D05,1119,available
D06,1119,available
D07,1119,available
D08,1119,available
D09,1119,available
D10,1119,available
D11,1119,available
D12,1119,available
D13,1119,available
D14,1119,available
D15,1119,available
D16,1119,available
D17,1119,available
D18,1119,available
D19,1119,available
D20,1119,available
D21,1119,available
D22,1119,available
D23,1119,available
D24,1119,available
D25,1119,available
E01,1119,available
E02,1119,available
E03,1119,available
E04,1119,available
E05,1119,available
E06,1119,available
E07,1119,available
E08,1119,available
E09,1119,available
E10,1119,available
E11,1119,available
E12,1119,available
E13,1119,available
E14,1119,available
E15,1119,available
E16,1119,available
E17,1119,available
E18,1119,available
E19,1119,available
E20,1119,available
E21,1119,available
E22,1119,available
E23,1119,available
E24,1119,available
E25,1119,available
F01,1119,available
F02,1119,available
F03,1119,available
F04,1119,available
F05,1119,available
F06,1119,available
F07,1119,available
F08,1119,available
F09,1119,available
F10,1119,available
F11,1119,available
F12,1119,available
F13,1119,available
F14,1119,available
F15,1119,available
F16,1119,available
F17,1119,available
F18,1119,available
F19,1119,available
F20,1119,available
F21,1119,available
F22,1119,available
F23,1119,available
F24,1119,available
F25,1119,available
G01,1119,available
G02,1119,available
G03,1119,available
G04,1119,available
G05,1119,available
G06,1119,available
G07,1119,available
G08,1119,available
G09,1119,available
G10,1119,available
G11,1119,available
G12,1119,available
G13,1119,available
G14,1119,available
G15,1119,available
G16,1119,available
G17,1119,available
G18,1119,available
G19,1119,available
G20,1119,available
G21,1119,available
G22,1119,available
G23,1119,available
G24,1119,available
G25,1119,available
H01,1119,available
H02,1119,available
H03,1119,available
H04,1119,available
H05,1119,available
H06,1119,available
H07,1119,available
H08,1119,available
H09,1119,available
H10,1119,available
H11,1119,available
H12,1119,available
H13,1119,available
H14,1119,available
H15,1119,available
H16,1119,available
H17,1119,available
H18,1119,available
H19,1119,available
H20,1119,available
H21,1119,available
H22,1119,available
H23,1119,available
H24,1119,available
H25,1119,available
I01,1119,available
I02,1119,available
I03,1119,available
I04,1119,available
I05,1119,available
I06,1119,available
